"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.05","10.1.0.1","10.0.0.11","GTPv2","174","Create Session Response"
"2","0.201055","192.168.1.11","10.0.0.10","NAS-5GS","343","Registration Request"
"3","0.809954","10.1.0.1","10.0.0.10","PFCP","103","Heartbeat Request"
"4","1.385097","172.16.0.1","10.1.0.11","NGAP","197","PathSwitchRequest"
"5","1.459456","10.0.0.2","192.168.2.10","ICMP","1337","Destination unreachable"
"6","1.824122","10.0.0.1","192.168.2.10","RRC","697","MeasurementReport"
"7","2.289977","172.16.0.1","10.0.0.10","DNS","973","Standard query"
"8","2.62485","172.16.0.1","172.16.1.2","NGAP","1207","UEContextReleaseRequest"
"9","2.727704","10.1.0.1","10.0.0.11","PFCP","282","Heartbeat Request"
"10","3.639674","10.0.0.1","10.1.0.11","NAS-5GS","167","Deregistration Request"
"11","3.838061","192.168.1.11","10.1.0.10","ICMP","1325","Echo (ping) request"
"12","4.137699","10.1.0.1","172.16.1.1","NAS-5GS","773","PDU Session Establishment"
"13","4.251198","10.0.0.1","172.16.1.1","PFCP","216","Heartbeat Request"
"14","4.331059","10.1.0.2","10.0.0.11","DNS","672","Standard query response"
"15","4.381059","172.16.0.2","192.168.2.11","NAS-5GS","796","PDU Session Establishment"
"16","4.832134","10.0.0.1","192.168.2.11","NGAP","1285","UEContextReleaseRequest"
"17","5.039916","192.168.1.10","172.16.1.2","NGAP","1377","HandoverRequest"
"18","5.108432","10.0.0.2","10.0.0.11","ICMP","1230","Destination unreachable"
"19","5.511726","192.168.1.11","172.16.1.2","NAS-5GS","355","PDU Session Establishment"
"20","5.561726","172.16.0.2","172.16.1.2","UDP","1481","52662  >  24465 Len=1439"
"21","5.611726","10.0.0.2","10.0.0.10","DNS","1374","Standard query"
"22","5.849765","10.0.0.2","10.0.0.11","NAS-5GS","742","Registration Accept"
"23","5.899765","192.168.1.11","10.0.0.10","HTTP/2","977","32657  >  30377 Len=935"
"24","6.121969","192.168.1.11","10.0.0.10","NAS-5GS","671","Authentication Request"
"25","6.171969","10.0.0.1","172.16.1.2","NGAP","1256","InitialContextSetupRequest"
"26","6.221969","192.168.1.11","172.16.1.2","DNS","305","Standard query response"
"27","6.271969","10.0.0.2","10.0.0.11","NGAP","1453","HandoverRequest"
"28","6.476192","10.1.0.2","192.168.2.10","PFCP","1396","Heartbeat Request"
"29","6.526192","10.0.0.2","172.16.1.1","NAS-5GS","884","Registration Request"
"30","6.576192","192.168.1.10","192.168.2.10","NAS-5GS","1367","Authentication Response"
"31","6.626192","192.168.1.11","192.168.2.10","PFCP","1455","Session Establishment Request"
"32","6.770653","10.1.0.2","192.168.2.10","RRC","272","RRCReconfiguration"
"33","6.971371","172.16.0.1","10.1.0.10","NAS-5GS","1107","Deregistration Request"
"34","7.021371","172.16.0.1","192.168.2.10","NAS-5GS","275","Authentication Response"
"35","7.265168","10.1.0.2","192.168.2.11","NAS-5GS","1368","Registration Accept"
"36","8.029358","192.168.1.10","10.0.0.10","NGAP","758","HandoverRequest"
"37","8.139629","10.1.0.2","10.0.0.11","HTTP/2","229","28640  >  36218 Len=187"
"38","8.247188","10.0.0.2","172.16.1.1","NAS-5GS","539","Authentication Request"
"39","8.687596","10.0.0.2","10.1.0.11","HTTP/2","291","52367  >  6372 Len=249"
"40","8.737596","10.0.0.2","10.1.0.11","NGAP","1139","PathSwitchRequest"
"41","8.936956","10.1.0.2","10.0.0.10","DNS","420","Standard query"
"42","8.986956","10.0.0.2","192.168.2.10","NAS-5GS","166","Registration Request"
"43","9.039794","10.0.0.1","192.168.2.11","NAS-5GS","618","Registration Request"
"44","9.298554","172.16.0.1","10.1.0.10","PFCP","938","Session Modification Request"
"45","9.787839","10.1.0.1","10.1.0.11","PFCP","137","Session Modification Request"
"46","9.837839","10.1.0.1","192.168.2.11","NAS-5GS","1456","Authentication Response"
"47","10.115042","10.0.0.1","10.1.0.11","UDP","1366","57907  >  35505 Len=1324"
"48","10.388409","10.1.0.2","192.168.2.10","HTTP/2","362","63478  >  15045 Len=320"
"49","10.824411","192.168.1.10","10.0.0.11","NAS-5GS","1324","PDU Session Establishment"
"50","10.934538","10.1.0.2","10.0.0.10","NAS-5GS","249","Deregistration Request"
"51","11.651451","192.168.1.11","10.0.0.11","HTTP/2","219","24769  >  50335 Len=177"
"52","11.875741","10.1.0.1","10.1.0.11","GTPv2","1180","Modify Bearer Request"
"53","12.093842","10.1.0.1","172.16.1.2","PFCP","654","Heartbeat Request"
"54","12.167283","10.1.0.2","10.1.0.11","ICMP","713","Echo (ping) reply"
"55","12.653343","172.16.0.2","10.1.0.10","NGAP","477","PathSwitchRequest"
"56","12.83678","10.0.0.1","10.1.0.11","NAS-5GS","534","Authentication Response"
"57","13.329313","10.1.0.1","10.1.0.10","UDP","1234","6315  >  21667 Len=1192"
"58","13.559651","172.16.0.2","172.16.1.2","NGAP","688","InitialUEMessage"
"59","14.09257","172.16.0.1","192.168.2.11","DNS","953","Standard query response"
"60","14.246309","192.168.1.11","10.1.0.11","NGAP","756","InitialContextSetupRequest"
"61","14.615379","10.1.0.2","172.16.1.2","PFCP","1144","Heartbeat Request"
"62","14.665379","192.168.1.11","10.1.0.11","NGAP","556","InitialUEMessage"
"63","15.011292","172.16.0.2","192.168.2.11","HTTP/2","1426","31357  >  25337 Len=1384"
"64","15.477548","172.16.0.1","192.168.2.11","RRC","1232","RRCSetup"
"65","15.586372","192.168.1.11","172.16.1.1","DNS","492","Standard query"
"66","15.677551","10.1.0.2","10.0.0.11","NGAP","206","UEContextReleaseRequest"
"67","16.165797","10.0.0.2","10.0.0.10","HTTP/2","1417","47058  >  53991 Len=1375"
"68","16.370561","10.0.0.1","192.168.2.10","DNS","836","Standard query"
"69","16.694524","192.168.1.11","10.0.0.10","UDP","491","55175  >  46413 Len=449"
"70","17.772997","10.0.0.1","172.16.1.2","HTTP/2","290","3887  >  53746 Len=248"
"71","18.033671","172.16.0.2","172.16.1.1","NAS-5GS","1349","PDU Session Establishment"
