timestamp,pci,cell_type,nof_ue,dl_brate,ul_brate,dl_nof_ok,dl_nof_nok,ul_nof_ok,ul_nof_nok,dl_mcs,ul_mcs,dl_prb,ul_prb,pusch_snr_db,pucch_snr_db,anomaly_label
2026-08-21T22:25:00,PCI_1,TDD,40,59789170.0,23929110.0,948,10,956,8,13.1,12.7,37,30,17.99,19.58,Normal
2026-08-21T22:25:00,PCI_2,TDD,40,61674685.0,24177688.0,1126,13,681,17,13.8,12.4,39,29,17.79,19.73,Normal
2026-08-21T22:25:00,PCI_3,TDD,34,59198561.0,23410014.0,1154,5,661,17,14.1,12.0,37,31,17.86,19.59,Normal
2026-08-21T22:25:00,PCI_4,TDD,34,60072573.0,23761291.0,1043,10,839,4,13.7,11.7,39,30,17.97,20.83,Normal
2026-08-21T22:26:00,PCI_1,TDD,35,58885746.0,24890457.0,1024,10,734,9,13.5,11.7,37,28,17.57,20.01,Normal
2026-08-21T22:26:00,PCI_2,TDD,35,61096951.0,23309179.0,1000,13,797,13,14.0,12.4,37,29,17.93,20.34,Normal
2026-08-21T22:26:00,PCI_3,TDD,38,59866382.0,23807044.0,854,16,855,8,13.7,12.3,37,30,18.05,20.6,Normal
2026-08-21T22:26:00,PCI_4,TDD,36,60024260.0,23219577.0,1137,11,713,13,13.8,12.3,38,28,17.75,20.49,Normal
2026-08-21T22:27:00,PCI_1,TDD,39,59885971.0,24065626.0,875,17,950,5,13.3,12.9,36,30,17.87,20.01,Normal
2026-08-21T22:27:00,PCI_2,TDD,36,60144501.0,24516719.0,984,6,917,14,13.5,12.8,36,29,17.96,20.72,Normal
2026-08-21T22:27:00,PCI_3,TDD,36,58857883.0,23551446.0,844,17,683,17,13.5,12.4,37,30,18.49,20.62,Normal
2026-08-21T22:27:00,PCI_4,TDD,35,61988260.0,24190379.0,847,11,951,6,13.8,12.3,37,30,18.09,20.37,Normal
2026-08-21T22:28:00,PCI_1,TDD,33,59278189.0,23823158.0,1170,7,654,10,13.3,12.5,38,29,17.54,20.17,Normal
2026-08-21T22:28:00,PCI_2,TDD,36,60635210.0,23090473.0,1099,9,797,11,13.5,12.5,38,32,18.3,20.66,Normal
2026-08-21T22:28:00,PCI_3,TDD,38,62833700.0,24415928.0,821,7,713,7,13.1,12.9,36,29,17.62,20.03,Normal
2026-08-21T22:28:00,PCI_4,TDD,41,60365227.0,23825107.0,932,8,886,14,13.1,12.5,36,27,18.39,19.78,Normal
2026-08-21T22:29:00,PCI_1,TDD,36,59269418.0,24634979.0,802,16,618,4,13.4,12.9,39,27,17.42,20.23,Normal
2026-08-21T22:29:00,PCI_2,TDD,38,60899258.0,25020049.0,1163,19,701,16,13.3,12.2,39,29,18.39,19.45,Normal
2026-08-21T22:29:00,PCI_3,TDD,35,60628815.0,25421855.0,901,18,788,9,13.8,12.6,37,29,18.58,20.07,Normal
2026-08-21T22:29:00,PCI_4,TDD,32,58513296.0,24329268.0,1072,10,835,3,13.5,12.4,36,30,17.66,20.25,Normal
2026-08-21T22:30:00,PCI_1,TDD,41,60790815.0,24057013.0,936,20,721,6,13.6,12.3,38,29,18.83,19.77,Normal
2026-08-21T22:30:00,PCI_2,TDD,40,61170417.0,24747903.0,969,10,996,7,14.1,12.4,37,30,18.01,19.79,Normal
2026-08-21T22:30:00,PCI_3,TDD,34,59494075.0,24979928.0,861,8,969,6,13.4,12.5,38,31,17.74,20.06,Normal
2026-08-21T22:30:00,PCI_4,TDD,38,60378639.0,23979295.0,1170,6,631,15,13.1,12.7,36,30,18.83,20.59,Normal
2026-08-21T22:31:00,PCI_1,TDD,39,60453078.0,23509641.0,1039,15,775,17,14.1,12.4,38,29,18.47,19.49,Normal
2026-08-21T22:31:00,PCI_2,TDD,41,59565967.0,24221383.0,891,12,849,9,13.8,12.4,36,29,17.9,19.55,Normal
2026-08-21T22:31:00,PCI_3,TDD,40,60596284.0,23708190.0,1025,19,601,6,13.2,12.9,37,28,17.94,20.76,Normal
2026-08-21T22:31:00,PCI_4,TDD,39,57850772.0,24311813.0,832,13,757,4,13.8,12.2,37,31,18.5,19.9,Normal
2026-08-21T22:32:00,PCI_1,TDD,37,62148951.0,24414505.0,999,11,886,3,13.8,12.7,38,30,18.57,20.24,Normal
2026-08-21T22:32:00,PCI_2,TDD,37,60643732.0,25104983.0,935,16,709,15,13.4,12.9,39,29,18.32,20.13,Normal
2026-08-21T22:32:00,PCI_3,TDD,38,59946147.0,24308715.0,1050,17,952,3,13.8,12.9,38,29,18.39,19.89,Normal
2026-08-21T22:32:00,PCI_4,TDD,34,61283215.0,24317260.0,1099,16,735,6,13.7,12.6,40,31,18.07,19.6,Normal
2026-08-21T22:33:00,PCI_1,TDD,38,58592025.0,24006865.0,916,15,808,10,13.3,12.4,37,29,18.69,20.26,Normal
2026-08-21T22:33:00,PCI_2,TDD,38,59929609.0,23894461.0,1087,23,886,6,13.2,12.5,39,29,18.05,19.21,Normal
2026-08-21T22:33:00,PCI_3,TDD,39,62927360.0,24904581.0,936,5,774,5,13.7,12.5,39,32,18.39,19.78,Normal
2026-08-21T22:33:00,PCI_4,TDD,39,60045656.0,23935562.0,1121,5,954,17,12.9,12.1,38,29,17.54,19.65,Normal
2026-08-21T22:34:00,PCI_1,TDD,41,61537393.0,24849788.0,998,14,888,4,13.8,12.8,38,30,18.15,20.51,Normal
2026-08-21T22:34:00,PCI_2,TDD,37,61937274.0,25099534.0,971,16,662,12,13.1,12.2,36,31,17.91,19.87,Normal
2026-08-21T22:34:00,PCI_3,TDD,40,61838633.0,24097109.0,1136,12,757,9,14.0,11.6,38,30,17.62,20.0,Normal
2026-08-21T22:34:00,PCI_4,TDD,38,60126905.0,24346071.0,1018,18,817,15,13.4,12.5,38,29,18.0,19.3,Normal
2026-08-21T22:35:00,PCI_1,TDD,42,61462611.0,24933656.0,922,7,624,8,13.1,12.3,37,29,18.5,20.59,Normal
2026-08-21T22:35:00,PCI_2,TDD,38,61457163.0,23468718.0,1039,5,963,14,12.9,12.4,36,30,18.06,20.17,Normal
2026-08-21T22:35:00,PCI_3,TDD,41,61156763.0,24025115.0,1063,24,726,13,14.0,12.7,38,30,18.49,19.76,Normal
2026-08-21T22:35:00,PCI_4,TDD,38,59863532.0,24981590.0,1011,6,754,10,13.7,12.6,39,29,18.29,19.46,Normal
2026-08-21T22:36:00,PCI_1,TDD,41,60330020.0,23133418.0,838,6,781,10,13.5,13.0,37,30,18.23,20.03,Normal
