"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.1.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"2","0.050000","10.0.0.2","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"3","0.100000","10.0.0.11","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"4","0.130000","10.0.0.10","10.0.0.11","UDP","49","38412  >  38412 Len=7"
"5","0.180000","10.1.0.1","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"6","0.230000","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"7","0.280000","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"8","0.330000","10.0.0.1","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"9","0.379999","10.1.0.1","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"10","0.429999","10.0.0.1","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"11","0.479999","10.1.0.1","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"12","0.529999","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"13","0.579999","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"14","0.629999","10.0.0.10","10.0.0.11","UDP","49","38412  >  38412 Len=7"
"15","0.679999","10.0.0.11","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"16","0.729999","10.0.0.10","10.0.0.12","UDP","49","38412  >  38412 Len=7"
"17","0.779999","10.0.0.12","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"18","0.829999","10.0.0.1","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"19","0.879999","10.1.0.1","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"20","0.929999","10.0.0.1","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"21","0.979999","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"22","1.029999","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"23","1.079999","10.0.0.2","10.1.0.1","UDP","49","38412  >  38412 Len=7"
"24","1.129999","10.1.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"25","3.000000","10.1.0.2","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"26","3.050000","10.0.0.2","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"27","3.100000","10.0.0.11","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"28","3.130000","10.0.0.10","10.0.0.11","UDP","49","38412  >  38412 Len=7"
"29","3.180000","10.1.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"30","3.230000","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"31","3.280000","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"32","3.330000","10.0.0.1","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"33","3.379999","10.1.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"34","3.429999","10.0.0.1","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"35","3.479999","10.1.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"36","3.529999","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"37","3.579999","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"38","3.629999","10.0.0.10","10.0.0.11","UDP","49","38412  >  38412 Len=7"
"39","3.679999","10.0.0.11","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"40","3.729999","10.0.0.10","10.0.0.12","UDP","49","38412  >  38412 Len=7"
"41","3.779999","10.0.0.12","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"42","3.829999","10.0.0.1","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"43","3.879999","10.1.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"44","3.929999","10.0.0.1","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"45","3.979999","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"46","4.029999","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"47","4.079999","10.0.0.2","10.1.0.2","UDP","49","38412  >  38412 Len=7"
"48","4.129999","10.1.0.2","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"49","6.000000","10.1.0.3","10.0.0.2","UDP","49","38412  >  38412 Len=7"
"50","6.050000","10.0.0.2","10.1.0.3","UDP","49","38412  >  38412 Len=7"
"51","6.100000","10.0.0.11","10.0.0.10","UDP","49","38412  >  38412 Len=7"
"52","6.130000","10.0.0.10","10.0.0.11","UDP","49","38412  >  38412 Len=7"
"53","6.180000","10.1.0.3","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"54","6.230000","10.0.0.2","10.0.0.1","UDP","49","38412  >  38412 Len=7"
"55","6.280000","10.0.0.1","10.0.0.2","UDP","49","38412  >  38412 Len=7"
