Timestamp,Cell_ID,gNB_ID,Channel_Type,Cell_Availability_%,RRC_Connection_Attempts,RRC_Connection_Rejects,RRC_Success_Rate_%,Avg_RRC_Connected_Users,Peak_RRC_Connected_Users,Registration_Success_Rate_%,PDU_Session_Success_Rate_%,RRC_Drop_Rate_%,Handover_Attempts,Handover_Success_Rate_%,Xn_HO_Prep_Success_Rate_%,Xn_HO_Exec_Success_Rate_%,NG_HO_Prep_Success_Rate_%,NG_HO_Exec_Success_Rate_%,PRB_Utilization_DL_%,PRB_Utilization_UL_%,DL_Throughput_Mbps,UL_Throughput_Mbps,Total_Traffic_GB,RACH_Success_Rate_%,Latency_ms
2026-08-21T22:25:00,PCI_1,gNB-1,TDD,99.894,295,1,99.899,56.6,72.6,99.656,99.323,0.124,32,98.513,98.814,98.837,98.304,98.088,40.38,32.47,275.91,93.96,10.34613,99.082,6.91
2026-08-21T22:25:00,PCI_2,gNB-1,TDD,99.908,324,0,99.922,54.0,70.9,99.631,99.356,0.161,33,98.537,98.889,98.716,98.318,98.065,39.92,31.79,272.96,96.22,10.24343,99.154,7.39
2026-08-21T22:25:00,PCI_3,gNB-2,TDD,99.901,316,0,99.914,54.4,71.6,99.568,99.286,0.154,31,98.568,99.049,98.713,98.497,97.832,40.06,32.11,273.0,95.23,10.23415,99.116,7.76
2026-08-21T22:25:00,PCI_4,gNB-2,TDD,99.874,255,0,99.843,55.3,73.9,99.579,99.308,0.167,31,98.481,98.963,98.769,98.446,97.934,40.4,31.83,276.76,95.71,10.37487,99.062,7.36
2026-08-21T22:30:00,PCI_1,gNB-1,TDD,99.898,313,0,99.879,52.8,70.6,99.55,99.32,0.159,29,98.567,98.809,98.762,98.53,97.964,39.98,32.18,274.68,96.58,10.30788,99.007,7.64
2026-08-21T22:30:00,PCI_2,gNB-1,TDD,99.888,325,0,99.828,56.1,73.3,99.68,99.288,0.159,18,98.524,98.798,98.818,98.422,98.136,40.05,32.59,277.66,95.14,10.4206,99.136,6.98
2026-08-21T22:30:00,PCI_3,gNB-2,TDD,99.896,298,0,99.826,57.3,77.3,99.746,99.321,0.122,25,98.564,98.801,98.587,98.427,97.919,39.9,31.71,282.66,94.9,10.5956,99.039,7.38
2026-08-21T22:30:00,PCI_4,gNB-2,TDD,99.899,326,1,99.988,54.7,70.9,99.552,99.264,0.117,33,98.451,99.113,98.718,98.484,97.91,40.3,32.1,277.85,97.16,10.42869,99.138,7.19
2026-08-21T22:35:00,PCI_1,gNB-1,TDD,99.903,339,0,99.979,56.9,76.6,99.611,99.279,0.125,32,98.372,99.011,98.843,98.554,98.018,40.11,32.57,281.07,97.14,10.52788,98.963,7.36
2026-08-21T22:35:00,PCI_2,gNB-1,TDD,99.913,300,0,99.88,57.0,76.8,99.605,99.332,0.128,26,98.411,98.695,98.795,98.316,97.878,40.35,32.16,286.49,98.9,10.73459,99.067,7.94
2026-08-21T22:35:00,PCI_3,gNB-2,TDD,99.927,342,0,99.892,56.8,74.4,99.546,99.305,0.17,34,98.554,98.923,99.052,98.588,97.915,40.45,32.11,284.28,95.85,10.65763,98.954,7.4
2026-08-21T22:35:00,PCI_4,gNB-2,TDD,99.879,287,1,99.874,56.1,70.5,99.527,99.406,0.107,20,98.484,98.771,98.69,98.584,98.291,41.04,31.98,279.76,97.49,10.47928,99.063,7.3
2026-08-21T22:40:00,PCI_1,gNB-1,TDD,99.897,252,0,99.831,57.4,73.7,99.624,99.351,0.159,27,98.462,98.916,98.835,98.405,98.0,40.16,32.4,285.81,99.99,10.71066,99.132,7.73
