Timestamp,Cell_ID,gNB_ID,Cell_Availability_%,RRC_Connection_Attempts,RRC_Connection_Rejects,RRC_Success_Rate_%,Avg_RRC_Connected_Users,Peak_RRC_Connected_Users,Registration_Success_Rate_%,PDU_Session_Success_Rate_%,RRC_Drop_Rate_%,Handover_Attempts,Handover_Success_Rate_%,Xn_HO_Prep_Success_Rate_%,Xn_HO_Exec_Success_Rate_%,NG_HO_Prep_Success_Rate_%,NG_HO_Exec_Success_Rate_%,PRB_Utilization_DL_%,PRB_Utilization_UL_%,DL_Throughput_Mbps,UL_Throughput_Mbps,Total_Traffic_GB,RACH_Success_Rate_%,Latency_ms
2026-08-01T01:18:29,PCI_1,gNB-1,99.9,301,1,99.886,64.5,84.5,99.55,99.303,0.177,19,98.338,98.949,98.836,98.411,97.907,34.99,30.35,188.66,69.54,1.94887,98.971,6.45
2026-08-01T01:18:29,PCI_2,gNB-1,99.888,307,1,99.837,60.9,80.5,99.591,99.174,0.139,29,98.411,98.747,98.752,98.302,97.919,35.53,29.6,189.97,70.88,1.76178,99.089,7.03
2026-08-01T01:18:29,PCI_3,gNB-2,99.903,297,1,99.904,74.8,81.4,99.643,99.306,0.137,29,98.6,98.976,98.68,98.407,98.058,34.91,30.34,189.93,70.67,1.936,99.032,7.06
2026-08-01T01:18:29,PCI_4,gNB-2,99.877,317,0,99.841,64.8,86.0,99.645,99.357,0.124,18,98.465,98.701,98.754,98.39,98.126,35.34,29.84,189.63,69.75,1.77699,99.057,6.91
2026-08-01T01:23:29,PCI_1,gNB-1,99.918,300,0,99.89,71.4,85.6,99.578,99.358,0.163,30,98.398,98.967,98.766,98.505,97.999,35.29,29.35,190.35,68.31,2.08686,99.07,6.73
2026-08-01T01:23:29,PCI_2,gNB-1,99.908,286,1,99.858,71.8,90.3,99.625,99.291,0.146,30,98.47,98.952,98.697,98.392,98.004,34.47,30.13,189.14,70.97,1.70571,99.109,6.82
2026-08-01T01:23:29,PCI_3,gNB-2,99.894,265,1,99.843,64.0,85.4,99.642,99.213,0.165,30,98.478,98.913,98.646,98.525,98.144,34.97,29.86,189.84,69.02,1.93226,99.046,6.98
2026-08-01T01:23:29,PCI_4,gNB-2,99.86,294,1,99.836,68.6,87.8,99.648,99.301,0.136,30,98.367,98.844,98.801,98.362,97.97,34.31,29.6,191.65,69.33,2.03607,99.134,7.42
2026-08-01T01:28:29,PCI_1,gNB-1,99.827,287,1,99.868,79.2,87.0,99.599,99.304,0.135,28,98.346,98.886,98.689,98.278,98.134,34.75,30.15,189.97,69.56,2.06625,99.163,6.91
2026-08-01T01:28:29,PCI_2,gNB-1,99.892,263,1,99.901,65.0,82.8,99.619,99.272,0.122,19,98.497,98.886,98.854,98.478,98.083,35.46,29.77,191.51,68.75,1.92976,99.149,7.26
