Timestamp,Cell_ID,gNB_ID,Cell_Availability_%,RRC_Connection_Attempts,RRC_Connection_Rejects,RRC_Success_Rate_%,Avg_RRC_Connected_Users,Peak_RRC_Connected_Users,Registration_Success_Rate_%,PDU_Session_Success_Rate_%,RRC_Drop_Rate_%,Handover_Attempts,Handover_Success_Rate_%,Xn_HO_Prep_Success_Rate_%,Xn_HO_Exec_Success_Rate_%,NG_HO_Prep_Success_Rate_%,NG_HO_Exec_Success_Rate_%,PRB_Utilization_DL_%,PRB_Utilization_UL_%,DL_Throughput_Mbps,UL_Throughput_Mbps,Total_Traffic_GB,RACH_Success_Rate_%,Latency_ms
2026-06-10T08:00:00,PCI_1,gNB-1,99.931,300,0,100.0,71.8,86.6,99.532,99.202,0.154,29,98.352,98.845,98.847,98.407,98.037,32.78,28.38,193.38,65.25,1.93972,99.086,6.95
2026-06-10T08:00:00,PCI_2,gNB-1,99.967,272,0,100.0,63.9,74.1,99.624,99.363,0.0,20,98.485,99.028,98.241,98.157,97.658,33.26,32.74,155.81,75.74,1.73664,99.421,8.92
2026-06-10T08:00:00,PCI_3,gNB-1,99.95,301,0,100.0,64.2,84.1,99.804,99.091,0.21,22,98.308,99.5,98.929,97.94,98.026,38.81,27.74,193.07,75.47,2.01405,99.367,11.96
2026-06-10T08:00:00,PCI_4,gNB-1,100.0,303,0,100.0,75.0,94.5,99.513,99.361,0.213,29,98.103,98.801,98.894,97.702,97.838,36.11,33.53,193.24,73.38,1.99963,99.108,9.42
2026-06-10T08:00:00,PCI_5,gNB-2,99.909,293,0,100.0,76.8,105.3,99.57,99.177,0.149,25,98.85,99.163,98.693,98.501,97.881,40.71,28.48,190.58,65.67,1.92193,99.287,7.27
2026-06-10T08:00:00,PCI_6,gNB-2,99.976,295,0,100.0,75.3,103.0,99.475,99.275,0.164,27,98.447,98.949,98.911,98.456,97.638,36.18,28.64,149.64,78.08,1.70787,98.986,11.26
2026-06-10T08:00:00,PCI_7,gNB-2,99.941,301,0,100.0,73.1,97.3,99.43,99.473,0.001,28,97.976,99.189,98.446,98.534,98.046,30.35,33.5,212.04,75.47,2.15637,99.132,9.56
2026-06-10T08:00:00,PCI_8,gNB-3,99.95,316,0,100.0,73.6,92.2,99.506,99.144,0.238,25,98.79,99.003,98.492,98.202,97.804,36.53,27.0,168.5,64.97,1.75105,98.998,12.28
2026-06-10T08:00:00,PCI_9,gNB-3,99.979,284,0,100.0,67.9,86.2,99.382,99.358,0.106,18,98.72,98.994,98.721,98.074,98.159,34.34,27.93,148.29,66.27,1.60923,99.534,9.04
2026-06-10T08:00:00,PCI_10,gNB-3,99.956,299,0,100.0,69.9,81.2,99.555,99.37,0.152,28,98.704,99.096,98.531,97.885,98.332,40.37,27.94,189.55,82.25,2.03849,99.408,11.18
2026-06-10T08:01:00,PCI_1,gNB-1,99.944,323,0,100.0,81.0,94.0,99.731,99.776,0.254,24,97.993,99.204,98.395,98.296,98.294,29.97,20.09,182.8,76.45,1.94435,99.139,9.86
2026-06-10T08:01:00,PCI_2,gNB-1,99.97,277,0,100.0,66.4,77.9,99.676,99.388,0.178,20,98.303,98.75,98.434,98.359,97.726,37.97,29.89,226.95,64.95,2.18922,99.422,9.67
2026-06-10T08:01:00,PCI_3,gNB-1,99.971,278,0,100.0,80.1,99.7,99.612,99.342,0.231,27,97.84,98.827,98.109,97.325,97.814,41.88,28.72,147.0,68.57,1.61678,99.483,10.04
2026-06-10T08:01:00,PCI_4,gNB-1,99.978,299,0,100.0,80.6,110.9,99.632,99.191,0.186,26,98.828,98.682,98.659,98.298,97.536,43.43,34.38,164.73,82.26,1.85245,99.295,5.88
2026-06-10T08:01:00,PCI_5,gNB-2,99.964,299,0,100.0,65.5,79.7,99.573,99.638,0.173,22,98.959,98.861,98.583,97.755,98.549,40.4,32.2,193.04,76.97,2.0251,99.254,9.43
2026-06-10T08:01:00,PCI_6,gNB-2,99.944,301,0,100.0,78.6,97.8,99.513,99.273,0.262,29,98.52,98.913,98.367,98.28,98.306,34.97,27.63,170.79,76.97,1.8582,98.802,9.45
2026-06-10T08:01:00,PCI_7,gNB-2,100.0,313,0,100.0,78.8,110.0,99.553,99.28,0.163,27,98.202,99.115,99.305,98.223,97.929,32.36,29.81,145.14,67.24,1.59285,99.52,8.45
2026-06-10T08:01:00,PCI_8,gNB-3,99.976,323,0,100.0,78.6,95.2,99.57,99.281,0.055,27,98.944,99.24,98.417,98.043,97.824,37.71,27.71,181.68,78.46,1.95109,99.125,9.74
2026-06-10T08:01:00,PCI_9,gNB-3,99.935,299,0,100.0,89.1,106.5,99.608,99.063,0.177,25,98.077,99.214,98.912,98.255,97.401,35.06,25.82,192.24,94.15,2.14794,99.254,8.64
2026-06-10T08:01:00,PCI_10,gNB-3,99.918,299,0,100.0,64.9,87.0,99.427,99.622,0.224,25,98.358,99.129,98.66,98.183,97.881,31.34,22.76,196.18,74.56,2.03053,99.254,11.31
2026-06-10T08:02:00,PCI_1,gNB-1,100.0,289,0,100.0,77.5,104.6,99.754,99.442,0.065,24,98.742,99.116,98.13,98.704,98.209,41.98,27.05,169.39,67.21,1.77453,99.834,9.55
2026-06-10T08:02:00,PCI_2,gNB-1,99.924,291,0,100.0,61.0,78.1,99.748,99.15,0.225,22,98.187,98.875,98.562,98.285,97.812,33.29,27.37,151.11,65.91,1.62765,99.188,11.14
2026-06-10T08:02:00,PCI_3,gNB-1,99.969,301,0,100.0,66.5,89.9,99.522,99.7,0.095,24,98.432,98.811,98.876,98.254,98.211,36.41,24.24,174.23,76.64,1.88154,99.44,8.45
2026-06-10T08:02:00,PCI_4,gNB-1,100.0,275,0,100.0,65.7,87.2,99.591,99.621,0.043,19,98.277,98.718,98.814,98.058,97.747,38.94,25.56,187.6,68.45,1.92042,98.897,7.06
2026-06-10T08:02:00,PCI_5,gNB-2,100.0,296,0,100.0,74.1,90.1,99.607,99.782,0.077,21,98.196,98.666,98.924,98.546,97.664,31.04,27.16,211.56,53.67,1.98922,99.332,8.2
2026-06-10T08:02:00,PCI_6,gNB-2,99.947,284,0,100.0,62.3,83.0,99.808,99.564,0.122,19,97.932,98.902,98.691,98.275,97.967,32.12,28.32,175.82,86.55,1.96774,99.667,9.61
2026-06-10T08:02:00,PCI_7,gNB-2,99.961,300,0,100.0,68.4,91.9,99.444,99.521,0.143,24,98.445,98.818,98.416,98.229,97.808,37.54,28.57,142.73,76.76,1.64616,98.864,8.89
2026-06-10T08:02:00,PCI_8,gNB-3,99.979,269,0,100.0,75.5,89.5,99.536,99.325,0.082,25,98.334,99.023,98.339,98.371,98.05,36.04,26.83,190.59,62.91,1.90125,99.315,10.18
2026-06-10T08:02:00,PCI_9,gNB-3,100.0,306,0,100.0,72.3,95.2,99.665,99.441,0.044,26,98.851,99.252,98.77,97.833,98.33,36.01,18.45,186.21,64.29,1.87876,98.876,8.86
