timestamp,pci,nof_ue,dl_brate,ul_brate,dl_nof_ok,dl_nof_nok,ul_nof_ok,ul_nof_nok,dl_mcs,ul_mcs,dl_prb,ul_prb,pusch_snr_db,pucch_snr_db
2024-06-01T00:00:00,PCI_1,7,16592414.0,39146782.0,926,32,896,14,13,13,39,49,20.72,10.56
2024-06-01T00:00:00,PCI_2,28,55070558.0,33796656.0,1128,34,835,16,12,11,36,22,9.54,19.09
2024-06-01T00:00:00,PCI_3,9,34816818.0,38974431.0,1166,7,957,25,14,11,32,40,20.57,11.89
2024-06-01T00:00:00,PCI_4,8,57813427.0,31066675.0,1167,17,840,16,10,15,21,36,11.52,15.41
2024-06-01T00:01:00,PCI_1,22,25883654.0,28443490.0,922,21,938,8,11,15,40,20,21.65,22.01
2024-06-01T00:01:00,PCI_2,25,37123487.0,15091484.0,1031,8,793,23,9,13,57,32,7.8,12.0
2024-06-01T00:01:00,PCI_3,16,64651032.0,21062052.0,1141,5,939,24,13,12,55,41,7.8,10.29
2024-06-01T00:01:00,PCI_4,19,63549920.0,27215141.0,1070,20,900,20,12,12,41,49,16.18,14.08
2024-06-01T00:02:00,PCI_1,11,69738215.0,13187882.0,1080,6,804,14,11,14,64,23,10.63,13.87
2024-06-01T00:02:00,PCI_2,24,56501948.0,19223540.0,917,20,898,6,11,14,45,35,8.34,8.45
2024-06-01T00:02:00,PCI_3,22,45073134.0,10330924.0,931,8,931,22,9,11,51,33,13.92,15.62
2024-06-01T00:02:00,PCI_4,14,16135494.0,9130207.0,1108,13,790,21,10,15,48,39,23.17,21.99
2024-06-01T00:03:00,PCI_1,11,41455305.0,14528455.0,1037,14,929,29,13,8,31,46,23.05,17.12
2024-06-01T00:03:00,PCI_2,19,22374095.0,34981500.0,928,29,760,22,8,14,33,47,19.39,16.64
2024-06-01T00:03:00,PCI_3,20,39106518.0,6456496.0,992,26,742,18,8,9,24,40,11.6,10.89
2024-06-01T00:03:00,PCI_4,9,74758408.0,25337140.0,1048,28,731,7,11,10,46,46,16.82,8.46
2024-06-01T00:04:00,PCI_1,6,44066083.0,22174745.0,945,38,825,16,8,11,41,46,16.43,17.47
2024-06-01T00:04:00,PCI_2,18,40723802.0,5756423.0,1181,33,780,28,10,14,34,36,22.92,10.8
2024-06-01T00:04:00,PCI_3,7,56159584.0,30444812.0,990,24,794,5,10,15,49,41,7.15,26.32
2024-06-01T00:04:00,PCI_4,18,35964560.0,34042641.0,1130,39,769,9,11,14,21,20,11.34,27.06
2024-06-01T00:05:00,PCI_1,29,21522547.0,6571872.0,1090,15,886,16,15,10,60,25,24.85,25.83
2024-06-01T00:05:00,PCI_2,27,46320085.0,16057517.0,1030,8,924,25,8,14,60,23,18.23,15.47
2024-06-01T00:05:00,PCI_3,5,26867940.0,9296528.0,1165,8,920,23,15,8,37,25,8.07,11.59
2024-06-01T00:05:00,PCI_4,9,31722657.0,32209169.0,1149,17,879,22,10,15,59,16,15.01,10.88
2024-06-01T00:06:00,PCI_1,5,18528275.0,22721548.0,1180,5,752,9,13,15,32,20,16.62,12.0
2024-06-01T00:06:00,PCI_2,23,19174043.0,9331383.0,1108,35,941,3,12,15,52,18,12.95,14.02
2024-06-01T00:06:00,PCI_3,18,74736590.0,5870082.0,939,22,852,20,10,12,34,53,17.68,10.12
2024-06-01T00:06:00,PCI_4,29,51722979.0,37655813.0,1066,30,742,23,13,14,38,15,14.35,23.7
2024-06-01T00:07:00,PCI_1,11,26284852.0,23576936.0,1154,5,899,5,14,14,32,48,22.35,20.06
2024-06-01T00:07:00,PCI_2,15,55635172.0,35362172.0,1081,15,823,6,10,11,36,52,9.96,12.73
2024-06-01T00:07:00,PCI_3,27,51610356.0,10116064.0,1198,31,952,25,8,9,63,19,11.21,10.88
2024-06-01T00:07:00,PCI_4,12,20752938.0,9042152.0,1147,37,976,19,12,8,27,21,6.11,11.49
2024-06-01T00:08:00,PCI_1,25,32259377.0,22658418.0,1149,6,828,18,11,13,43,42,22.02,8.87
2024-06-01T00:08:00,PCI_2,11,49986286.0,19569185.0,1162,22,754,27,10,8,30,24,12.47,18.48
2024-06-01T00:08:00,PCI_3,15,16937920.0,34525123.0,1168,8,727,25,15,14,24,17,24.59,24.04
2024-06-01T00:08:00,PCI_4,24,19418655.0,23762381.0,1170,25,933,19,10,12,48,39,22.15,17.26
2024-06-01T00:09:00,PCI_1,6,43451409.0,19591128.0,1135,18,905,20,9,12,31,25,12.35,15.33
2024-06-01T00:09:00,PCI_2,22,30781353.0,38210027.0,969,30,798,14,13,15,37,22,14.62,14.57
2024-06-01T00:09:00,PCI_3,10,47290559.0,27152117.0,1038,23,988,25,14,8,42,41,19.7,12.05
2024-06-01T00:09:00,PCI_4,8,53006582.0,8328351.0,986,25,908,16,12,13,58,51,6.69,26.72
2024-06-01T00:10:00,PCI_1,15,64783687.0,32829019.0,1117,9,987,28,12,15,27,47,10.07,19.8
2024-06-01T00:10:00,PCI_2,9,49546543.0,25035068.0,1183,6,728,17,11,11,47,21,15.45,23.28
2024-06-01T00:10:00,PCI_3,8,18381351.0,9098625.0,1176,32,855,16,15,13,30,38,18.16,16.37
2024-06-01T00:10:00,PCI_4,13,72885658.0,31688625.0,926,37,932,8,13,10,50,44,12.28,14.29
2024-06-01T00:11:00,PCI_1,18,36832388.0,30539000.0,993,10,988,6,11,9,23,52,23.72,23.61
2024-06-01T00:11:00,PCI_2,29,60243217.0,38291813.0,1065,26,843,6,11,8,36,41,22.01,20.74
2024-06-01T00:11:00,PCI_3,18,41802257.0,33888983.0,936,9,843,18,8,11,21,42,14.17,16.85
2024-06-01T00:11:00,PCI_4,24,17741189.0,39896213.0,988,5,790,16,8,15,61,44,10.68,24.74
2024-06-01T00:12:00,PCI_1,8,16330851.0,36396169.0,912,8,899,29,13,14,21,41,9.82,10.86
2024-06-01T00:12:00,PCI_2,27,55938833.0,6265695.0,908,34,933,24,8,8,28,15,6.03,20.12
2024-06-01T00:12:00,PCI_3,11,66067470.0,37472840.0,1194,33,988,9,8,8,32,48,18.96,24.76
2024-06-01T00:12:00,PCI_4,8,45317169.0,31081584.0,1131,20,712,15,12,13,29,19,22.02,11.1
2024-06-01T00:13:00,PCI_1,7,78614335.0,26404026.0,1143,30,715,8,13,12,20,25,17.33,8.85
2024-06-01T00:13:00,PCI_2,9,16420470.0,11423663.0,916,12,965,15,11,15,51,31,14.17,23.68
2024-06-01T00:13:00,PCI_3,11,31093984.0,25230603.0,976,27,961,18,15,12,40,20,17.98,26.81
2024-06-01T00:13:00,PCI_4,15,43191811.0,9172613.0,1109,10,744,15,15,9,42,42,10.56,14.09
2024-06-01T00:14:00,PCI_1,29,38614818.0,12616998.0,1084,19,935,19,11,15,38,40,11.34,8.72
2024-06-01T00:14:00,PCI_2,10,50072055.0,24802017.0,1076,15,825,15,12,13,41,20,17.96,21.05
2024-06-01T00:14:00,PCI_3,9,53820874.0,17623007.0,1084,16,773,24,11,15,35,36,19.73,25.73
2024-06-01T00:14:00,PCI_4,18,65990929.0,16005774.0,1053,9,976,25,12,14,42,44,14.88,10.32
2024-06-01T00:15:00,PCI_1,6,33389103.0,11054806.0,916,7,960,25,10,13,56,17,19.85,8.29
2024-06-01T00:15:00,PCI_2,14,20752903.0,26029414.0,994,20,948,22,13,8,58,31,12.3,27.17
2024-06-01T00:15:00,PCI_3,24,59378446.0,18574459.0,922,39,834,23,13,15,39,27,5.21,12.18
2024-06-01T00:15:00,PCI_4,9,68541300.0,39619655.0,1092,31,857,15,15,12,27,43,21.78,27.81
2024-06-01T00:16:00,PCI_1,13,62873112.0,20182266.0,1095,9,850,15,8,11,57,30,8.01,11.62
2024-06-01T00:16:00,PCI_2,10,30444153.0,22156914.0,1040,13,972,28,15,12,22,40,14.87,9.68
2024-06-01T00:16:00,PCI_3,18,56914228.0,31701606.0,980,13,952,25,13,12,58,40,12.33,18.79
2024-06-01T00:16:00,PCI_4,17,63803931.0,34820543.0,917,35,801,28,10,12,58,28,23.19,19.74
2024-06-01T00:17:00,PCI_1,26,17348580.0,18949338.0,936,34,815,12,12,15,46,34,17.62,11.55
2024-06-01T00:17:00,PCI_2,5,74922232.0,20687256.0,1175,5,801,11,11,10,28,25,16.97,8.15
2024-06-01T00:17:00,PCI_3,22,53425040.0,21712706.0,1024,14,751,21,15,15,43,40,23.07,22.41
2024-06-01T00:17:00,PCI_4,26,17987285.0,30634473.0,1128,14,988,19,14,11,55,33,16.06,21.08
2024-06-01T00:18:00,PCI_1,25,62498848.0,17127250.0,1025,38,732,29,13,8,26,26,5.82,23.55
2024-06-01T00:18:00,PCI_2,16,78454189.0,19405160.0,937,38,846,26,8,14,64,49,6.7,19.11
2024-06-01T00:18:00,PCI_3,10,36089164.0,6704447.0,1062,33,779,27,8,10,40,47,18.51,22.27
2024-06-01T00:18:00,PCI_4,23,66061011.0,6713730.0,932,27,932,3,15,9,58,44,17.44,25.16
2024-06-01T00:19:00,PCI_1,18,38094889.0,36347221.0,1033,5,985,16,8,12,31,42,9.75,25.06
2024-06-01T00:19:00,PCI_2,12,51322418.0,18892902.0,1101,23,804,24,8,10,58,51,22.73,11.75
2024-06-01T00:19:00,PCI_3,15,79912036.0,15372672.0,1103,7,902,12,14,14,40,43,7.74,19.5
2024-06-01T00:19:00,PCI_4,19,37465837.0,37035457.0,1022,11,999,26,9,11,51,44,7.69,15.31
2024-06-01T00:20:00,PCI_1,12,54417819.0,17015236.0,924,7,805,8,11,11,44,15,24.18,23.04
2024-06-01T00:20:00,PCI_2,27,26456798.0,16386996.0,1026,22,862,29,15,15,32,28,15.59,22.85
2024-06-01T00:20:00,PCI_3,26,32574464.0,10440455.0,964,25,885,20,9,10,21,26,10.66,19.23
2024-06-01T00:20:00,PCI_4,15,43338012.0,39814561.0,1162,13,937,18,12,13,55,40,21.29,26.05
2024-06-01T00:21:00,PCI_1,12,55704549.0,38437230.0,980,32,841,7,8,14,27,37,13.66,8.72
2024-06-01T00:21:00,PCI_2,6,27224663.0,7293565.0,1053,37,987,22,15,11,24,26,15.32,14.25
2024-06-01T00:21:00,PCI_3,24,58873281.0,12245719.0,914,6,955,6,8,15,48,30,12.88,16.33
2024-06-01T00:21:00,PCI_4,26,10086314.0,22785857.0,990,10,700,10,10,11,25,31,11.66,16.63
2024-06-01T00:22:00,PCI_1,10,26973800.0,21795219.0,1065,32,840,25,10,14,43,25,9.57,14.61
2024-06-01T00:22:00,PCI_2,16,59809063.0,10265890.0,1104,13,979,16,12,8,22,34,7.76,26.38
2024-06-01T00:22:00,PCI_3,8,53410450.0,13457362.0,926,5,979,8,8,8,56,16,16.8,24.99
2024-06-01T00:22:00,PCI_4,20,21392044.0,32052809.0,1070,22,701,10,15,14,58,36,10.09,26.38
2024-06-01T00:23:00,PCI_1,6,66921154.0,16143969.0,1067,20,990,19,10,12,60,54,17.01,12.33
2024-06-01T00:23:00,PCI_2,6,12088434.0,17126753.0,1139,23,824,20,11,8,34,47,8.31,22.5
2024-06-01T00:23:00,PCI_3,8,51568138.0,9410922.0,1153,29,790,22,15,14,57,27,18.86,11.46
2024-06-01T00:23:00,PCI_4,5,11160586.0,39757960.0,943,32,852,6,12,12,64,25,7.54,25.95
2024-06-01T00:24:00,PCI_1,9,13536379.0,25809866.0,927,35,824,17,10,9,27,39,18.27,24.72
2024-06-01T00:24:00,PCI_2,10,71172195.0,13878258.0,988,11,705,4,12,12,46,21,16.07,15.92
2024-06-01T00:24:00,PCI_3,11,78839195.0,19674534.0,1125,28,859,22,14,15,54,37,5.25,23.92
2024-06-01T00:24:00,PCI_4,7,72275950.0,18825253.0,1054,17,856,14,9,13,38,52,7.99,27.23
2024-06-01T00:25:00,PCI_1,29,24850319.0,21443031.0,979,11,904,8,15,15,61,49,22.57,15.58
2024-06-01T00:25:00,PCI_2,23,64807209.0,24947684.0,1120,19,855,5,11,8,53,41,23.08,25.31
2024-06-01T00:25:00,PCI_3,15,11619807.0,39272862.0,1158,32,850,5,13,15,20,23,19.39,25.75
2024-06-01T00:25:00,PCI_4,20,50669256.0,19319899.0,1013,27,818,19,8,12,34,28,23.71,17.35
2024-06-01T00:26:00,PCI_1,24,21401005.0,28959673.0,920,11,801,13,9,8,36,30,24.1,12.87
2024-06-01T00:26:00,PCI_2,27,29467935.0,12073084.0,1001,11,729,15,15,9,53,38,15.44,17.37
2024-06-01T00:26:00,PCI_3,7,55676344.0,22342729.0,1036,14,738,4,15,15,20,34,10.05,13.9
2024-06-01T00:26:00,PCI_4,27,78919803.0,39382834.0,933,15,929,11,10,15,59,45,6.44,10.76
2024-06-01T00:27:00,PCI_1,25,53172933.0,23982754.0,1182,15,766,17,14,12,39,18,10.07,11.21
2024-06-01T00:27:00,PCI_2,23,30722300.0,17993842.0,949,8,955,13,14,11,46,35,20.2,23.45
2024-06-01T00:27:00,PCI_3,10,17027695.0,14258893.0,912,12,881,28,15,9,38,19,8.59,16.27
2024-06-01T00:27:00,PCI_4,22,69593425.0,35610130.0,1153,7,834,8,13,10,31,50,15.62,12.97
2024-06-01T00:28:00,PCI_1,6,64415110.0,23118153.0,999,13,788,7,15,10,21,52,15.59,18.73
2024-06-01T00:28:00,PCI_2,8,76657480.0,21871077.0,1047,33,830,12,14,15,25,29,8.27,19.09
2024-06-01T00:28:00,PCI_3,14,74179389.0,16253655.0,1187,12,749,9,8,15,59,16,14.3,16.01
2024-06-01T00:28:00,PCI_4,29,67281551.0,30956512.0,1082,23,859,20,10,11,28,48,8.06,26.41
2024-06-01T00:29:00,PCI_1,6,53589612.0,31279350.0,1104,16,867,4,14,13,61,28,9.24,26.48
2024-06-01T00:29:00,PCI_2,5,79535795.0,14831374.0,1138,23,831,10,15,8,48,45,14.17,10.58
2024-06-01T00:29:00,PCI_3,8,32340955.0,30416304.0,1030,10,936,20,15,13,42,30,18.2,19.99
2024-06-01T00:29:00,PCI_4,13,22406485.0,28733292.0,1038,7,841,19,15,14,62,36,5.81,16.99
2024-06-01T00:30:00,PCI_1,16,56199700.0,15586810.0,986,36,923,23,12,10,32,54,12.33,22.77
2024-06-01T00:30:00,PCI_2,22,45625391.0,36748021.0,1184,18,820,27,10,11,45,20,17.94,14.85
2024-06-01T00:30:00,PCI_3,25,56724295.0,27943121.0,1108,19,839,14,8,13,31,20,5.4,14.53
2024-06-01T00:30:00,PCI_4,26,27267626.0,28374721.0,1098,33,759,7,9,9,55,52,10.5,10.77
2024-06-01T00:31:00,PCI_1,23,47945532.0,29548689.0,984,14,784,21,9,14,61,51,17.2,13.1
2024-06-01T00:31:00,PCI_2,29,37977329.0,28989970.0,1185,15,887,4,12,8,34,43,13.0,25.5
2024-06-01T00:31:00,PCI_3,26,32555097.0,24059194.0,1188,26,808,14,14,13,27,52,17.64,14.68
2024-06-01T00:31:00,PCI_4,28,69032602.0,39237155.0,1046,33,773,13,8,13,61,53,20.29,23.25
2024-06-01T00:32:00,PCI_1,20,30252410.0,14023294.0,931,21,887,15,13,11,51,24,13.2,12.38
2024-06-01T00:32:00,PCI_2,9,10525492.0,16764549.0,1075,28,944,10,11,14,58,37,21.78,10.77
2024-06-01T00:32:00,PCI_3,16,23481358.0,10388725.0,1109,32,881,6,15,8,25,30,17.39,26.66
2024-06-01T00:32:00,PCI_4,8,65351658.0,14472125.0,1026,15,994,20,11,15,23,52,18.27,10.24
2024-06-01T00:33:00,PCI_1,17,45053630.0,29015702.0,1113,34,872,7,12,14,27,31,24.84,27.99
2024-06-01T00:33:00,PCI_2,23,78366485.0,16141424.0,1095,6,854,5,10,11,24,42,13.5,9.03
2024-06-01T00:33:00,PCI_3,22,67486155.0,19583310.0,1010,28,928,12,14,11,34,46,19.98,24.03
2024-06-01T00:33:00,PCI_4,8,71534815.0,8363333.0,996,10,847,8,10,9,60,25,15.68,9.35
2024-06-01T00:34:00,PCI_1,26,12438685.0,27829016.0,1053,6,768,3,14,13,23,32,8.36,10.94
2024-06-01T00:34:00,PCI_2,18,67343992.0,8246463.0,1146,7,958,10,11,11,57,37,19.76,13.15
2024-06-01T00:34:00,PCI_3,22,35753304.0,12671623.0,998,31,760,16,11,13,44,45,20.03,10.38
2024-06-01T00:34:00,PCI_4,9,67617534.0,18947732.0,962,31,725,12,13,15,27,21,7.74,21.07
2024-06-01T00:35:00,PCI_1,28,71100127.0,11730524.0,953,20,975,13,15,12,28,50,18.12,13.78
