timestamp,pci,nof_ue,dl_brate,ul_brate,dl_nof_ok,dl_nof_nok,ul_nof_ok,ul_nof_nok,dl_mcs,ul_mcs,dl_prb,ul_prb,pusch_snr_db,pucch_snr_db
2026-06-13T08:00:00,PCI_1,2,383820046.0,24210050.0,1077,20,948,8,9,9,27.0,30.0,19.33,17.41
2026-06-13T08:00:00,PCI_2,2,327374894.0,22964689.0,896,9,799,17,10,13,43.0,26.0,17.5,22.85
2026-06-13T08:00:00,PCI_3,2,386741373.0,23030720.0,1027,12,678,25,14,10,35.0,26.0,17.49,23.29
2026-06-13T08:00:00,PCI_4,2,309981534.0,24273041.0,925,24,763,7,12,11,48.0,25.0,19.91,16.99
2026-06-13T08:00:00,PCI_5,2,367839107.0,21558146.0,908,6,894,24,8,11,29.0,33.0,7.21,17.11
2026-06-13T08:00:00,PCI_6,1,347820363.0,29684238.0,1078,35,730,19,12,10,31.0,27.0,9.85,15.85
2026-06-13T08:00:00,PCI_7,2,437148622.0,25068971.0,990,18,727,6,11,13,39.0,28.0,14.34,12.18
2026-06-13T08:00:00,PCI_8,3,356834930.0,21600499.0,898,31,903,10,14,11,31.0,13.0,19.28,27.91
2026-06-13T08:00:00,PCI_9,2,22694980.0,11171401.0,878,24,992,6,8,13,36.0,30.0,6.32,9.75
2026-06-13T08:00:00,PCI_10,3,27540166.0,16311608.0,960,36,912,21,8,13,34.0,32.0,5.66,9.13
2026-06-13T08:00:00,PCI_11,1,17300866.0,11082065.0,1116,16,827,18,8,10,38.0,25.0,20.07,10.93
2026-06-13T08:00:00,PCI_12,2,27508794.0,10925234.0,986,6,842,27,15,11,37.0,23.0,5.3,27.5
2026-06-13T08:00:00,PCI_13,2,26767297.0,10791691.0,1148,18,714,11,14,9,36.0,36.0,14.66,11.79
2026-06-13T08:00:00,PCI_14,2,19952189.0,13820041.0,1156,17,678,26,12,14,43.0,32.0,20.04,22.48
2026-06-13T08:00:00,PCI_15,2,26539061.0,9101966.0,1155,15,870,19,9,15,34.0,30.0,6.96,15.04
2026-06-13T08:00:00,PCI_16,2,32598943.0,11206630.0,905,25,854,4,9,11,35.0,29.0,19.67,16.37
2026-06-13T08:01:00,PCI_1,1,418092780.0,26439599.0,977,5,840,12,15,9,36.0,30.0,12.55,19.08
2026-06-13T08:01:00,PCI_2,1,350862421.0,16815601.0,1161,32,869,3,9,15,33.0,23.0,14.85,11.07
2026-06-13T08:01:00,PCI_3,2,472445912.0,31626097.0,1016,37,852,14,9,13,31.0,27.0,10.61,21.64
2026-06-13T08:01:00,PCI_4,1,381032923.0,28656927.0,1134,18,986,13,8,10,35.0,33.0,24.29,26.74
2026-06-13T08:01:00,PCI_5,2,477249105.0,25326369.0,1053,21,933,23,11,8,32.0,27.0,16.89,11.42
2026-06-13T08:01:00,PCI_6,2,412431367.0,20476166.0,992,22,963,7,8,14,43.0,31.0,13.42,27.88
2026-06-13T08:01:00,PCI_7,2,291975391.0,24316334.0,987,19,827,13,8,13,35.0,25.0,7.03,22.12
2026-06-13T08:01:00,PCI_8,2,404746105.0,29681664.0,1158,6,762,29,13,14,36.0,30.0,6.73,19.54
2026-06-13T08:01:00,PCI_9,2,28202700.0,11162581.0,1150,5,952,18,9,11,34.0,27.0,8.67,19.89
2026-06-13T08:01:00,PCI_10,2,20874470.0,12954120.0,1130,5,760,15,8,9,43.0,35.0,19.92,25.28
2026-06-13T08:01:00,PCI_11,2,23904012.0,11716892.0,1133,11,724,18,10,15,39.0,29.0,19.9,27.39
2026-06-13T08:01:00,PCI_12,1,24255693.0,10149700.0,1022,17,904,7,13,15,36.0,20.0,10.61,12.73
2026-06-13T08:01:00,PCI_13,2,24203923.0,13871897.0,1059,10,745,24,10,12,40.0,24.0,16.46,15.73
2026-06-13T08:01:00,PCI_14,3,29676389.0,12148619.0,1086,14,903,23,15,11,34.0,26.0,21.84,21.88
2026-06-13T08:01:00,PCI_15,2,25647094.0,9948716.0,983,30,746,27,14,12,39.0,34.0,14.51,18.75
2026-06-13T08:01:00,PCI_16,1,34204259.0,17681121.0,1070,26,772,12,14,15,36.0,31.0,16.22,20.59
2026-06-13T08:02:00,PCI_1,2,295666541.0,11688444.0,1152,24,848,3,14,12,36.0,25.0,23.83,21.65
2026-06-13T08:02:00,PCI_2,2,306052131.0,21046397.0,1099,26,944,23,11,15,39.0,30.0,15.35,17.91
2026-06-13T08:02:00,PCI_3,2,319500745.0,33118941.0,1099,38,892,6,10,12,36.0,26.0,5.15,8.76
2026-06-13T08:02:00,PCI_4,1,471112891.0,26389676.0,1093,33,835,26,8,11,37.0,30.0,21.39,20.98
2026-06-13T08:02:00,PCI_5,2,427614325.0,21466136.0,900,20,933,21,11,10,36.0,26.0,23.9,20.42
2026-06-13T08:02:00,PCI_6,2,293299381.0,15128490.0,1056,15,760,12,12,11,37.0,29.0,7.12,18.04
2026-06-13T08:02:00,PCI_7,2,400973648.0,18146679.0,1064,9,854,28,8,12,36.0,31.0,12.84,20.49
