timestamp,pci,cell_type,nof_ue,dl_brate,ul_brate,dl_nof_ok,dl_nof_nok,ul_nof_ok,ul_nof_nok,dl_mcs,ul_mcs,dl_prb,ul_prb,pusch_snr_db,pucch_snr_db,anomaly_label
2026-06-13T08:00:00,PCI_1,TDD,1,192001192.0,21752256.0,447,0,307,4,17.4,16.0,11.7,18.4,23.56,20.13,Normal
2026-06-13T08:01:00,PCI_1,TDD,2,308008406.0,13899885.0,422,1,399,3,17.6,14.6,22.3,13.4,21.14,19.3,Normal
2026-06-13T08:02:00,PCI_1,TDD,1,303298492.0,20456342.0,430,16,351,2,16.4,17.2,22.0,13.7,20.32,18.35,Normal
2026-06-13T08:03:00,PCI_1,TDD,1,334578783.0,21304753.0,379,7,376,5,19.7,16.4,19.9,14.8,22.58,21.26,Normal
2026-06-13T08:04:00,PCI_1,TDD,1,257803239.0,16433375.0,385,4,435,0,19.9,12.6,15.0,15.4,23.17,21.42,Normal
2026-06-13T08:05:00,PCI_1,TDD,2,258567163.0,16669677.0,464,5,328,0,16.2,17.0,17.6,18.2,21.15,20.32,Normal
2026-06-13T08:06:00,PCI_1,TDD,2,264462395.0,21461435.0,393,4,368,0,19.0,15.1,17.1,17.3,22.89,21.33,Normal
2026-06-13T08:07:00,PCI_1,TDD,1,258856509.0,18975001.0,346,0,334,0,18.8,14.2,15.3,21.6,21.29,21.48,Normal
2026-06-13T08:08:00,PCI_1,TDD,1,278134993.0,14819410.0,417,10,322,6,18.5,14.8,10.2,15.6,20.94,20.47,Normal
2026-06-13T08:09:00,PCI_1,TDD,1,416613362.0,18568552.0,388,7,404,9,19.7,16.7,24.9,9.4,20.72,18.15,Normal
2026-06-13T08:10:00,PCI_1,TDD,1,196163602.0,23136759.0,432,0,358,5,19.7,20.0,32.3,17.6,20.02,15.74,Normal
2026-06-13T08:11:00,PCI_1,TDD,1,241377359.0,18079743.0,417,6,445,5,17.7,13.9,9.5,13.2,21.89,23.54,Normal
2026-06-13T08:12:00,PCI_1,TDD,1,378983820.0,17855412.0,393,1,378,13,16.4,17.7,13.6,20.5,22.77,19.69,Normal
2026-06-13T08:13:00,PCI_1,TDD,1,259097007.0,22777433.0,433,0,359,5,21.2,16.3,17.7,17.4,24.61,20.44,Normal
2026-06-13T08:14:00,PCI_1,TDD,1,394102557.0,22885842.0,537,7,365,0,21.3,19.4,17.5,14.2,24.92,17.79,Normal
2026-06-13T08:15:00,PCI_1,TDD,1,362302099.0,18963814.0,465,6,432,10,18.2,17.3,8.4,16.0,20.31,17.56,Normal
2026-06-13T08:16:00,PCI_1,TDD,1,291911664.0,25710907.0,403,7,403,3,20.0,17.1,25.5,15.7,20.61,19.55,Normal
2026-06-13T08:17:00,PCI_1,TDD,2,333128678.0,15903771.0,478,8,527,12,16.3,15.4,11.6,13.6,22.63,22.41,Normal
2026-06-13T08:18:00,PCI_1,TDD,1,273735649.0,10783330.0,470,1,409,1,17.8,12.5,11.8,27.4,19.43,17.81,Normal
2026-06-13T08:19:00,PCI_1,TDD,2,543583605.0,15855738.0,464,8,503,0,17.5,17.6,21.5,15.0,21.73,17.25,Normal
2026-06-13T08:20:00,PCI_1,TDD,1,308627198.0,23067933.0,459,9,478,5,18.7,16.1,19.5,13.4,22.63,19.81,Normal
2026-06-13T08:21:00,PCI_1,TDD,3,449506108.0,24029532.0,452,1,489,5,19.0,12.5,24.3,19.5,19.78,19.06,Normal
2026-06-13T08:22:00,PCI_1,TDD,2,338333046.0,20832346.0,490,6,451,10,12.9,15.5,20.7,18.8,21.26,16.49,Normal
2026-06-13T08:23:00,PCI_1,TDD,2,466837944.0,14816471.0,542,5,447,0,17.3,18.6,22.9,26.2,24.35,20.88,Normal
2026-06-13T08:24:00,PCI_1,TDD,2,373094683.0,26817954.0,489,7,425,8,15.6,17.6,19.2,23.5,23.5,23.64,Normal
2026-06-13T08:25:00,PCI_1,TDD,2,225145351.0,22535125.0,449,5,517,7,16.6,14.0,20.5,11.7,20.66,20.62,Normal
2026-06-13T08:26:00,PCI_1,TDD,2,391578091.0,11604951.0,527,8,477,11,13.9,14.8,23.5,10.0,24.95,20.74,Normal
2026-06-13T08:27:00,PCI_1,TDD,2,305967036.0,27321339.0,570,8,474,6,16.3,15.7,19.9,20.0,24.0,17.88,Normal
2026-06-13T08:28:00,PCI_1,TDD,2,462757806.0,19725302.0,479,8,502,5,20.7,17.7,25.0,21.0,26.66,19.59,Normal
2026-06-13T08:29:00,PCI_1,TDD,1,474822328.0,21345053.0,530,14,408,0,14.8,14.4,23.2,21.0,22.55,17.17,Normal
2026-06-13T08:30:00,PCI_1,TDD,1,361427947.0,21464548.0,552,11,481,8,18.5,17.1,17.7,17.6,22.39,21.64,Normal
2026-06-13T09:15:00,PCI_3,TDD,2,514544526.0,30367938.0,698,14,554,1,15.0,11.3,24.8,28.4,21.43,20.4,Normal
2026-06-13T09:16:00,PCI_3,TDD,3,577362208.0,31506694.0,775,11,603,4,15.0,14.2,26.5,28.8,25.44,17.24,Normal
2026-06-13T09:17:00,PCI_3,TDD,3,402057894.0,34380065.0,704,1,677,4,16.9,13.9,25.2,27.0,21.62,20.66,Normal
2026-06-13T09:18:00,PCI_3,TDD,3,581445256.0,30445778.0,640,16,629,11,18.8,15.7,30.3,34.8,26.15,20.14,Normal
2026-06-13T09:19:00,PCI_3,TDD,2,565394411.0,28083455.0,734,10,658,3,14.8,11.9,23.1,22.8,21.41,23.87,Normal
2026-06-13T09:20:00,PCI_3,TDD,3,414783985.0,34201263.0,701,9,656,9,17.3,18.1,23.1,25.3,27.2,20.45,Normal
2026-06-13T09:21:00,PCI_3,TDD,3,496052730.0,35516467.0,721,10,621,8,16.3,17.3,34.4,27.2,21.43,20.91,Normal
2026-06-13T09:22:00,PCI_3,TDD,2,561585957.0,23604298.0,711,0,595,12,19.8,14.6,21.6,10.7,20.91,24.84,Normal
2026-06-13T09:23:00,PCI_3,TDD,3,451666345.0,35234352.0,653,9,662,6,19.6,16.7,32.6,22.2,23.8,23.26,Normal
2026-06-13T09:24:00,PCI_3,TDD,2,429254405.0,39734360.0,724,18,643,13,18.3,16.5,37.2,23.9,20.12,19.1,Normal
2026-06-13T09:25:00,PCI_3,TDD,3,380579765.0,36388134.0,710,16,568,4,14.6,14.3,30.8,24.9,21.49,19.68,Normal
2026-06-13T09:26:00,PCI_3,TDD,3,424534243.0,36879211.0,774,13,689,8,22.1,15.8,28.1,22.2,19.94,17.51,Normal
2026-06-13T09:27:00,PCI_3,TDD,2,497018641.0,35159454.0,746,7,705,10,17.7,14.7,32.5,27.0,19.1,19.86,Normal
